Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Woman Owned Business,Sub Emerging Business
MMA184620258802745,no,Prime Vendor,WILDLIFE CONSERVATION SOCIETY,Non-M/WBE,"D esign, construction, and construction supervision of capit",49000000.0,49000000.0,0.0,10/1/2024,10/1/2029,No ,No ,Department of Parks and Recreation,1015998395.0,CONSTRUCTION,SOLE SOURCE,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200631,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Job Order Contract @ Various in Citywide,8347451.71,8347451.71,0.0,1/21/2024,1/20/2025,Yes,No ,Housing Preservation and Development,1016224133.0,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200453,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal & Replacement of Vinyl Asbestos Floor Tiles,24999999.99,24999999.99,0.0,8/14/2024,8/13/2027,Yes,No ,Housing Preservation and Development,1015886922.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200451,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal & Replacement of Vinyl Asbestos Floor Tiles,24999999.99,24999999.99,0.0,8/14/2024,8/13/2027,Yes,No ,Housing Preservation and Development,1015885673.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200361,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Capacity contract for Brickwork Repair at Various Dev,24999999.0,24999999.0,0.0,6/24/2024,6/23/2027,Yes,No ,Housing Preservation and Development,1015867969.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200346,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Local Law 11 Brickwork Repair at Various Developments,24999999.99,24999999.99,0.0,6/25/2024,6/25/2027,Yes,No ,Housing Preservation and Development,1015848575.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200332,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Local Law 11 Brickwork Repair at Various Developments,24999999.99,24999999.99,0.0,6/25/2024,6/25/2027,Yes,No ,Housing Preservation and Development,1015845987.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200106,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Contract for Lead-Based Paint Abatement  @Various Deve.,5006460.0,5006460.0,0.0,1/21/2024,1/20/2025,Yes,No ,Housing Preservation and Development,1015648267.0,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200092,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ JOC Roofing Work @ Various Development in Citywide,6100255.12,6100255.12,0.0,4/15/2024,4/14/2025,Yes,No ,Housing Preservation and Development,1015647488.0,REQUIREMENTS-CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200077,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ - JOC for Roof Work @Various Developments,10000000.0,10000000.0,0.0,4/15/2024,4/15/2027,Yes,No ,Housing Preservation and Development,1015645412.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
