Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number ,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program ,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance ,Georeference
24-639SQ-CR,10100 Inc.,"10100, Inc.",Corporation,No,No,,955 West River Road,,Grand Island,NY,14072,7169837839,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.99049 42.97805)
24-63ZE1-CR,"1068 Curry Road, Inc.",city glass company,Corporation,No,No,,1068 curry rd,,"schenectady, ny 12306",NY,12306,5183552202,11/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.969 42.78614)
25-64TYL-CR,11400 LLC,CLARK FOOD SERVICE EQUIPMENT,LLC,No,No,,2551 HORSESHOE RD,,LANCASTER,PA,17601,7173927550,01/22/2025,01/22/2027,Active,No,Out of State,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.206 40.07246)
25-6414J-CR,"1349 Main, Gorenflo's Buffalo Wholesale Lock Co, Inc.",Gorenflo's Buffalo Wholesale Lock,Corporation,No,No,,1349 Main Street,,Buffalo,NY,14209,7168821974,01/28/2025,01/28/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.86594 42.91033)
25-64V75-CR,1895 ELECTRIC LLC,,LLC,No,No,,60 SCHOL ST#114,,ORCHARD PARK,NY,14127,7169091331,01/08/2025,01/08/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.74632 42.76559)
24-64BJ7-CR,"192 Branch Interior Services, Inc.",Branch Services,Corporation,No,No,,2099 9th Ave,,Ronkonkoma,NY,11779,6314676600,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.14138 40.79489)
25-64UKT-CR,1 Accord Services Inc,1 Accord Services Inc.,Corporation,Yes,No,,PO box 922,,Buffalo,NY,14205,7166022404,01/29/2025,01/29/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64R77-CR,1 Call Building Maintenance Corp.,1Call Building Maintenance Corp.,Corporation,Yes,No,,176 CLOCKS BLVD,,Massapequa,NY,11758,5163517765,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.42575 40.65824)
25-64JLF-CR,"1 Legacy Construction, Inc",,Corporation,No,No,,1246 CONIFER COVE LN,,WEBSTER,NY,14580,5853293618,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.43471 43.22571)
25-64KVU-CR,1Star-Networks LLC,,LLC,Yes,Yes,Troy  Binns,1140 East 92 Street,,Brooklyn,NY,11236,7185136130,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.90526 40.64165)
