naic_cd,naics_code_description,Keep?
32791,Abrasive Product Manufacturing,
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",
54121,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",
5223,Activities Related to Credit Intermediation,
5313,Activities Related to Real Estate,
32552,Adhesive Manufacturing,
92411,Administration of Air and Water Resource and Solid Waste Management Programs,
92412,Administration of Conservation Programs,
92311,Administration of Education Programs,
9241,Administration of Environmental Quality Programs,
92611,Administration of General Economic Programs,
92511,Administration of Housing Programs,
9251,"Administration of Housing Programs, Urban Planning, and Community Development",
9231,Administration of Human Resource Programs,
92313,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",
92312,Administration of Public Health Programs,
92512,Administration of Urban Planning and Community and Rural Development,
92314,Administration of Veterans' Affairs,
541611,Administrative Management and General Management Consulting Services,
54181,Advertising Agencies,
54187,Advertising Material Distribution Services,
5418,"Advertising, Public Relations, and Related Services",
3364,Aerospace Product and Parts Manufacturing,
33641,Aerospace Product and Parts Manufacturing,
5242,"Agencies, Brokerages, and Other Insurance Related Activities",
71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",
33311,Agricultural Implement Manufacturing,
3331,"Agriculture, Construction, and Mining Machinery Manufacturing",
333411,Air Purification Equipment Manufacturing,
488111,Air Traffic Control,
333912,Air and Gas Compressor Manufacturing,
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,
336412,Aircraft Engine and Engine Parts Manufacturing,
336411,Aircraft Manufacturing,
48811,Airport Operations,
325181,Alkalies and Chlorine Manufacturing,
62199,All Other Ambulatory Health Care Services,
71399,All Other Amusement and Recreation Industries,
11299,All Other Animal Production,
811198,All Other Automotive Repair and Maintenance,
325188,All Other Basic Inorganic Chemical Manufacturing,
325199,All Other Basic Organic Chemical Manufacturing,
561499,All Other Business Support Services,
32599,All Other Chemical Product and Preparation Manufacturing,
532299,All Other Consumer Goods Rental,
322299,All Other Converted Paper Product Manufacturing,
11199,All Other Crop Farming,
315299,All Other Cut and Sew Apparel Manufacturing,
33599,All Other Electrical Equipment and Component Manufacturing,
33299,All Other Fabricated Metal Product Manufacturing,
52399,All Other Financial Investment Activities,
31199,All Other Food Manufacturing,
